Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uf","C_0805_2012Metric",120.775000,-66.450000,90.000000,top
"C2","1uf","C_0805_2012Metric",116.000000,-68.250000,-90.000000,top
"J1","AFB10-S10LCA-00","FPC-SMD_10P-P1.00-L3.4-W13.0",85.000000,-73.250000,0.000000,top
"J2","U-B-M9DD-W-1","U-B-M9DD-W-1",128.470000,-78.210000,180.000000,top
"J3","AV-5","CONN-TH_AV-5",145.000000,-67.700000,180.000000,top
"R1","1K","R_0603_1608Metric",94.430000,-64.575000,-90.000000,top
"R2","1K","R_0603_1608Metric",97.150000,-64.575000,-90.000000,top
"R3","1K","R_0603_1608Metric",99.870000,-64.575000,-90.000000,top
"R4","1K","R_0603_1608Metric",102.590000,-64.575000,-90.000000,top
"R5","1K","R_0603_1608Metric",105.310000,-64.575000,-90.000000,top
"R6","1K","R_0603_1608Metric",108.030000,-64.575000,-90.000000,top
"R7","1K","R_0603_1608Metric",110.750000,-64.575000,-90.000000,top
"U1","XC6206PxxxMR","SOT-23-3",117.137500,-64.450000,0.000000,top
